var_name,label_mn,label_en,type,waves_present,source_types,source_files,n_obs,n_missing,n_unique,category
q0232_2,2.32.2 Өрхөөс төлсөн сургалтын төлбөр,2.32.2 householdөөс төлсөн сургалтын төлбөр,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32191,393,education
q0232_3,"2.32.3 Сурах бичиг, бичгийн хэрэгсэл","2.32.3 Сурах бичиг, бичгийн хэрэгсэл",numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,245,education
q0232_4,2.32.4 Дүрэмт хувцас,2.32.4 Дүрэмт хувцас,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,239,education
q0232_5,2.32.5 Тээвэр,2.32.5 Тээвэр,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,218,education
q0232_6,2.32.6 Бусад,2.32.6 Бусад,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,164,education
q0232_7,2.32.7 Нийт,2.32.7 Нийт,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,1693,education
q0328_6,3.28 6. [НЭР]-ын/ийн хувьд төрөлх хэлээрээ бусадтай ярихад ямар нэгэн бэрхшээл г,3.28 6. [НЭР]-ын/ийн хувьд төрөлх хэлээрээ бусадтай ярихад ямар нэгэн бэрхшээл г,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,93496,6,ethnic_cultural
q0701,"7.01 Сүүлийн 12 сард ХАА-н бус үйлдвэрлэл, худалдаа, үйлчилгээ эрхэлсэн үү?","7.01 Сүүлийн 12 сард ХАА-н бус үйлдвэрлэл, худалдаа, үйлчилгээ эрхэлсэн үү?",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold (14).dta | 01_hhold.dta,74717,0,7,ethnic_cultural
q0702,"7.02 Хэдэн төрлийн үйлдвэрлэл, худалдаа, үйлчилгээ эрхэлсэн бэ?","7.02 Хэдэн төрлийн үйлдвэрлэл, худалдаа, үйлчилгээ эрхэлсэн бэ?",numeric,"2020,2021,2022,2023,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold (14).dta | 01_hhold.dta,74717,62431,8,ethnic_cultural
q0921,9.21 Та энэ сууцныхаа өмчийн хэлбэрийг хэлнэ үү?,9.21 Та энэ сууцныхаа өмчийн хэлбэрийг хэлнэ үү?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,8,ethnic_cultural
aimagsoum,Combinations of aimags and soums,Combinations of aimags and soums,numeric,"2022,2023,2024",basicvars,basicvars (13).dta | basicvars (14).dta | basicvars.dta,47058,0,338,geography
location,Strata 4 locations,Strata 4 locations,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",basicvars,basicvars (11).dta | basicvars (12).dta | basicvars (13).dta | basicvars (14).dta | basicvars.dta,74717,0,4,geography
newaimag,New code of aimag,New code of aimag,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",basicvars,basicvars (11).dta | basicvars (12).dta | basicvars (13).dta | basicvars (14).dta | basicvars.dta,74717,0,22,geography
q0111a,1.11 Одоо [НЭР] хаана амьдарч байна вэ? Аймаг/ Нийслэл,1.11 Одоо [НЭР] хаана амьдарч байна вэ? aimag/ Нийслэл,haven_labelled/vctrs_vctr/double,"2020,2021,2022",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta,180792,179138,36,geography
q0111b,1.11 Одоо [НЭР] хаана амьдарч байна вэ? Сум/ дүүрэг,1.11 Одоо [НЭР] хаана амьдарч байна вэ? soum/ дүүрэг,numeric,"2020,2021,2022",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta,180792,179261,21,geography
q0114a,1.14 [НЭР] хаана төрсөн бэ? Аймаг/ Нийслэл,1.14 [НЭР] хаана birth/born бэ? aimag/ Нийслэл,haven_labelled/vctrs_vctr/double,"2020,2021,2022",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta,180792,130697,44,geography
q0114b,1.14 [НЭР] хаана төрсөн бэ? Сум/ дүүрэг,1.14 [НЭР] хаана birth/born бэ? soum/ дүүрэг,numeric,"2020,2021,2022",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta,180792,131011,27,geography
q0115a,1.15 Одоо [НЭР] хаана амьдарч байна вэ? Аймаг/ Нийслэл,1.15 Одоо [НЭР] хаана амьдарч байна вэ? aimag/ Нийслэл,haven_labelled/vctrs_vctr/double,2024,indiv,02_indiv.dta,53898,53542,30,geography
q0115b,1.15 Одоо [НЭР] хаана амьдарч байна вэ? Сум/ дүүрэг,1.15 Одоо [НЭР] хаана амьдарч байна вэ? soum/ дүүрэг,haven_labelled/vctrs_vctr/double,2024,indiv,02_indiv.dta,53898,53600,70,geography
q0117,1.17 [НЭР] энэ нутаг буюу [АЙМАГ]-ын/ийн [СУМ]-нд төрсөн үү?,1.17 [НЭР] энэ place/area буюу [aimag]-ын/ийн [soum]-нд birth/born үү?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,141775,5,geography
q0118a,"1.18 [НЭР] хамгийн сүүлд аль аймаг, сумаас шилжиж ирсэн бэ? Аймаг/ Нийслэл","1.18 [НЭР] хамгийн сүүлд аль aimag, soumаас move/migrateиж ирсэн бэ? aimag/ Нийслэл",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,179143,41,geography
q0118b,"1.18 [НЭР] хамгийн сүүлд аль аймаг, сумаас шилжиж ирсэн бэ? Сум/ дүүрэг","1.18 [НЭР] хамгийн сүүлд аль aimag, soumаас move/migrateиж ирсэн бэ? soum/ дүүрэг",haven_labelled/vctrs_vctr/double | numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,179707,339,geography
q0121,1.21 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? Аймаг/ Нийслэл,1.21 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? aimag/ Нийслэл,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,183527,5,geography
q0121a,1.21 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? Аймаг/ Нийслэл,1.21 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? aimag/ Нийслэл,haven_labelled/vctrs_vctr/double,"2020,2021,2022",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta,180792,139822,35,geography
q0121b,1.21 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? Сум/ дүүрэг,1.21 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? soum/ дүүрэг,numeric,"2020,2021,2022",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta,180792,139998,27,geography
q0122a,"1.22 [НЭР] хамгийн сүүлд аль аймаг, сумаас шилжиж ирсэн бэ? Аймаг/ Нийслэл","1.22 [НЭР] хамгийн сүүлд аль aimag, soumаас move/migrateиж ирсэн бэ? aimag/ Нийслэл",haven_labelled/vctrs_vctr/double,2024,indiv,02_indiv.dta,53898,43705,37,geography
q0122b,"1.22 [НЭР] хамгийн сүүлд аль аймаг, сумаас шилжиж ирсэн бэ? Сум/ дүүрэг","1.22 [НЭР] хамгийн сүүлд аль aimag, soumаас move/migrateиж ирсэн бэ? soum/ дүүрэг",haven_labelled/vctrs_vctr/double,2024,indiv,02_indiv.dta,53898,43783,338,geography
q0125,1.25 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? Аймаг/ Нийслэл,1.25 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? aimag/ Нийслэл,haven_labelled/vctrs_vctr/double,2024,indiv,02_indiv.dta,53898,43826,2,geography
q0125a,1.25 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? Аймаг/ Нийслэл,1.25 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? aimag/ Нийслэл,haven_labelled/vctrs_vctr/double,2024,indiv,02_indiv.dta,53898,43826,32,geography
q0125b,1.25 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? Сум/ дүүрэг,1.25 [НЭР] 5-н жилийн өмнө хаана амьдарч байсан бэ? soum/ дүүрэг,haven_labelled/vctrs_vctr/double,2024,indiv,02_indiv.dta,53898,43867,296,geography
urban,Urban/rural,Urban/rural,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",basicvars,basicvars (11).dta | basicvars (12).dta | basicvars (13).dta | basicvars (14).dta | basicvars.dta,74717,0,2,geography
q0303,3.03 [НЭР] эрүүл мэндийн даатгал (ЭМД)-д хамрагдаж байгаа юу?,3.03 [НЭР] health мэндийн даатгал (ЭМД)-д хамрагдаж байгаа юу?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,7468,2,health
q0305,3.05 [НЭР] эрүүл мэндийн даатгалаа хаанаас төлдөг вэ?,3.05 [НЭР] health мэндийн даатгалаа хаанаас төлдөг вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,33382,4,health
q0309,3.09 [НЭР] яагаад эмнэлэгт хандаагүй вэ?,3.09 [НЭР] яагаад эмнэлэгт хандаагүй вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,232313,13,health
q0310a,3.10 Сүүлийн 30 хоногт [НЭР] эмнэлэгт хандсан шалтгаан/ өвчин юу вэ? Анхны,3.10 Сүүлийн 30 хоногт [НЭР] эмнэлэгт хандсан reason/ illness юу вэ? Анхны,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,216025,11,health
q0310b,3.10 Сүүлийн 30 хоногт [НЭР] эмнэлэгт хандсан шалтгаан/ өвчин юу вэ? Хоёрдахь,3.10 Сүүлийн 30 хоногт [НЭР] эмнэлэгт хандсан reason/ illness юу вэ? Хоёрдахь,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,232496,11,health
q0311,3.11 [НЭР] ямар эмнэлэгт хандсан бэ?,3.11 [НЭР] ямар эмнэлэгт хандсан бэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,216025,6,health
q0317,"3.17 [НЭР] сүүлийн 12 сарын хугацаанд эмнэлэгт хэд хоног хэвтэж, эмчлүүлсэн бэ?","3.17 [НЭР] сүүлийн 12 сарын хугацаанд эмнэлэгт хэд хоног хэвтэж, эмчлүүлсэн бэ?",numeric,"2020,2021,2022,2023,2024","hhold,indiv",01_hhold (14).dta | 02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,243240,217789,69,health
q0318a,"3.18 Сүүлийн 12 сарын хугацаанд [НЭР] ямар өвчнөөр эмнэлэгт хэвтэн, эмчлүүлсэн в","3.18 Сүүлийн 12 сарын хугацаанд [НЭР] ямар өвчнөөр эмнэлэгт хэвтэн, эмчлүүлсэн в",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,209514,10,health
q0318b,"3.18 Сүүлийн 12 сарын хугацаанд [НЭР] ямар өвчнөөр эмнэлэгт хэвтэн, эмчлүүлсэн в","3.18 Сүүлийн 12 сарын хугацаанд [НЭР] ямар өвчнөөр эмнэлэгт хэвтэн, эмчлүүлсэн в",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,231980,10,health
q0319,3.19 [НЭР] ямар эмнэлэгт хэвтэн эмчлүүлсэн бэ?,3.19 [НЭР] ямар эмнэлэгт хэвтэн эмчлүүлсэн бэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,209514,6,health
q1013i,З Гоц халдварт өвчин (хүний),З Гоц халдварт illness (хүний),haven_labelled/vctrs_vctr/double | numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,3,health
q1013j,Л Гоц халдварт өвчин (малын),Л Гоц халдварт illness (малын),haven_labelled/vctrs_vctr/double | numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,3,health
h12,Household sample selection,Household sample selection,haven_labelled/vctrs_vctr/double,2024,hhold,01_hhold.dta,15513,0,5,household
h15,15. Өрхийн түүврийн сонголт,15. householdийн түүврийн сонголт,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold (14).dta,59204,0,4,household
hh_no,12. Өрхийн дугаар,12. householdийн дугаар,numeric,"2020,2021,2022,2023,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold (14).dta | 01_hhold.dta,74717,0,12,household
hhsize,Household size,Household size,numeric,"2020,2021,2022,2023,2024",basicvars,basicvars (11).dta | basicvars (12).dta | basicvars (13).dta | basicvars (14).dta | basicvars.dta,74717,0,15,household
hhsize_cover,9. Өрхийн ам бүлийн тоо,9. householdийн household sizeийн тоо,numeric,"2020,2021",hhold,01_hhold (11).dta | 01_hhold (12).dta,27659,0,15,household
panel_household_with_2022,NA,NA,numeric,2024,basicvars,basicvars.dta,15513,13004,1,household
q0102,1.02 Өрхийн тэргүүлэгчтэй ямар хамааралтай вэ?,1.02 householdийн headтэй ямар хамааралтай вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,0,11,household
q0114,1.14 [НЭР] одоо энэ өрхөд хамт амьдарч байна уу?,1.14 [НЭР] одоо энэ householdөд хамт амьдарч байна уу?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,133124,2,household
q0301,3.01 Сүүлийн 12 сард танайх мал аж ахуй эрхэлсэн үү?/ Танай өрх малтай юу?,3.01 Сүүлийн 12 сард танайх мал аж ахуй эрхэлсэн үү?/ Танай household малтай юу?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024","hhold,indiv",01_hhold (14).dta | 02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,243240,7468,2,household
q0306,"3.06 Сүүлийн 12 сард танай өрх ноос, ноолуур, арьс, шир, сүү болон бусад бүтээгд","3.06 Сүүлийн 12 сард танай household ноос, ноолуур, арьс, шир, сүү болон бусад бүтээгд",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024","hhold,indiv",01_hhold (14).dta | 02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,243240,7468,2,household
q0314,3.14 Та болон танай өрхийн гишүүдээс хэн нэг нь сүүлийн 12 сард тариалан эрхлэх,3.14 Та болон танай householdийн гишүүдээс хэн нэг нь сүүлийн 12 сард тариалан эрхлэх,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024","hhold,indiv",01_hhold (14).dta | 02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,243240,7468,2,household
q0315,3.15 Одоогийн байдлаар таны болон танай өрхийн тариалан эрхлэх газрын талбайн хэ,3.15 Одоогийн байдлаар таны болон танай householdийн тариалан эрхлэх газрын талбайн хэ,numeric,"2020,2021,2022,2023,2024","hhold,indiv",01_hhold (14).dta | 02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,243240,211791,349,household
q0324_4,3.24 4. [НЭР]-д та болон танай өрхийн гишүүдийн хэлснийг ойлгоход хүндрэлтэй бай,3.24 4. [НЭР]-д та болон танай householdийн гишүүдийн хэлснийг ойлгоход хүндрэлтэй бай,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,219407,5,household
q0324_5,3.24 5. [НЭР]-ын/ийн хэл яриаг ойлгоход танд болон танай өрхийн гишүүдэд хүндрэл,3.24 5. [НЭР]-ын/ийн хэл яриаг ойлгоход танд болон танай householdийн гишүүдэд хүндрэл,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,219407,5,household
q0547,"5.47 Сүүлийн 12 сард танай өрхийн гишүүд хувь хүн, хамаатан, найз нөхөд болон ту","5.47 Сүүлийн 12 сард танай householdийн гишүүд хувь хүн, хамаатан, найз нөхөд болон ту",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,household
q0601,6.01 Сүүлийн 12 сард танайх мал аж ахуй эрхэлсэн үү?/ Танай өрх малтай юу?,6.01 Сүүлийн 12 сард танайх мал аж ахуй эрхэлсэн үү?/ Танай household малтай юу?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold (14).dta | 01_hhold.dta,74717,0,2,household
q0603,6.03 Сүүлийн 12 сард танай өрх болон өрхийн гишүүдээс хэн нэг нь ямар нэг төрлий,6.03 Сүүлийн 12 сард танай household болон householdийн гишүүдээс хэн нэг нь ямар нэг төрлий,haven_labelled/vctrs_vctr/double,2023,hhold,01_hhold (14).dta,8550,0,2,household
q0604,6.04 Танай өрх сүүлийн 12 сард нийт хэдэн зээл төлсөн бэ?,6.04 Танай household сүүлийн 12 сард нийт хэдэн зээл төлсөн бэ?,numeric,2023,hhold,01_hhold (14).dta,8550,3227,5,household
q0607,"6.07 Сүүлийн 12 сард танай өрх ноос, ноолуур, арьс, шир, сүү болон бусад бүтээгд","6.07 Сүүлийн 12 сард танай household ноос, ноолуур, арьс, шир, сүү болон бусад бүтээгд",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,household
q0615,6.15 Та болон танай өрхийн гишүүдээс хэн нэг нь сүүлийн 12 сард тариалан эрхлэх,6.15 Та болон танай householdийн гишүүдээс хэн нэг нь сүүлийн 12 сард тариалан эрхлэх,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,household
q0616,6.16 Таны болон танай өрхийн тариалан эрхлэх газрын талбайн хэмжээ,6.16 Таны болон танай householdийн тариалан эрхлэх газрын талбайн хэмжээ,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,63103,127,household
q0618,6.18 Сүүлийн 12 сард танай өрхийн гишүүдийн тариалсан газрын нийт хэмжээ,6.18 Сүүлийн 12 сард танай householdийн гишүүдийн тариалсан газрын нийт хэмжээ,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,63595,116,household
q0704,7.04 Танай өрхийн амьдарч байгаа сууцны талбайн хэмжээ хэд вэ?,7.04 Танай householdийн амьдарч байгаа сууцны талбайн хэмжээ хэд вэ?,numeric,2023,hhold,01_hhold (14).dta,8550,8523,12,household
q0716,7.16 Өрхийн хэдэн гишүүд интернэт ашигладаг вэ?,7.16 householdийн хэдэн гишүүд интернэт ашигладаг вэ?,numeric,2023,hhold,01_hhold (14).dta,8550,4552,9,household
q0717,7.17 Танай өрхийн хэдэн гишүүн гар утсаараа интернэт ашигладаг вэ?,7.17 Танай householdийн хэдэн гишүүн гар утсаараа интернэт ашигладаг вэ?,numeric,2023,hhold,01_hhold (14).dta,8550,4552,10,household
q0801,8.01 Та болон танай өрхийн гишүүд хадгаламжтай юу?,8.01 Та болон танай householdийн гишүүд хадгаламжтай юу?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,household
q0803,8.03 Сүүлийн 12 сарын хугацаанд та болон танай өрхийн аль нэг гишүүн зээл авах з,8.03 Сүүлийн 12 сарын хугацаанд та болон танай householdийн аль нэг гишүүн зээл авах з,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,household
q0806,8.06 Сүүлийн 12 сард танай өрх болон өрхийн гишүүдээс ямар нэг төрлийн зээл авса,8.06 Сүүлийн 12 сард танай household болон householdийн гишүүдээс ямар нэг төрлийн зээл авса,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,household
q0807,8.07 Танай өрх сүүлийн 12 сард нийт хэдэн зээл төлсөн бэ?,8.07 Танай household сүүлийн 12 сард нийт хэдэн зээл төлсөн бэ?,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,26835,3,household
q0904,9.04 ТУХАЙН ӨРХИЙН СУУЦНЫ ТӨРӨЛ.,9.04 ТУХАЙН householdИЙН СУУЦНЫ ТӨРӨЛ.,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,7,household
q0906,9.06 Танай өрхийн сууцны ханын гаднах материал юу вэ?,9.06 Танай householdийн сууцны ханын гаднах материал юу вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold.dta,43172,18502,10,household
q0906a,9.06a Танай өрхийн сууцны ханын үндсэн материал юу вэ?,9.06a Танай householdийн сууцны ханын үндсэн материал юу вэ?,haven_labelled/vctrs_vctr/double,2022,hhold,01_hhold (13).dta,22995,9890,6,household
q0906b,"9.06б Танай өрхийн сууцны ханын гадна өнгөлгөө, фасадны материал юу вэ?","9.06б Танай householdийн сууцны ханын гадна өнгөлгөө, фасадны материал юу вэ?",haven_labelled/vctrs_vctr/double,2022,hhold,01_hhold (13).dta,22995,9890,10,household
q0907,9.07 Танай өрхийн сууцны дээврийн хучилтын материал юу вэ?,9.07 Танай householdийн сууцны дээврийн хучилтын материал юу вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,28392,10,household
q0908,9.08 Танай өрхийн сууцны шалны материал юу вэ?,9.08 Танай householdийн сууцны шалны материал юу вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold.dta,43172,18502,9,household
q0908a,9.08a Танай өрхийн сууцны шалны үндсэн материал юу вэ?,9.08a Танай householdийн сууцны шалны үндсэн материал юу вэ?,haven_labelled/vctrs_vctr/double,2022,hhold,01_hhold (13).dta,22995,9890,6,household
q0908b,9.08б Танай өрхийн сууцны шалны хучилтын материал юу вэ?,9.08б Танай householdийн сууцны шалны хучилтын материал юу вэ?,haven_labelled/vctrs_vctr/double,2022,hhold,01_hhold (13).dta,22995,10218,5,household
q0911,9.11 Танай өрхийн амьдарч байгаа сууцны талбайн хэмжээ хэд вэ?,9.11 Танай householdийн амьдарч байгаа сууцны талбайн хэмжээ хэд вэ?,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,59417,40,household
q0922,9.22 Танай өрх яаж сууцтай болсон бэ?,9.22 Танай household яаж сууцтай болсон бэ?,haven_labelled/vctrs_vctr/double | numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,6799,138,household
q0924,9.24 Хэрэв танай өрх энэ сууцыг хэн нэгнээс түрээсэлж байна гэж бодвол сард хэдэ,9.24 Хэрэв танай household энэ сууцыг хэн нэгнээс түрээсэлж байна гэж бодвол сард хэдэ,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,1558,85,household
q0927,9.27 Танай өрхийн халаалтандаа ихэвчлэн хэрэглэдэг түлш болон эрчим хүчний эх үү,9.27 Танай householdийн халаалтандаа ихэвчлэн хэрэглэдэг түлш болон эрчим хүчний эх үү,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,15977,10,household
q0939,"9.39 Танай өрхийн гишүүдийн гар, нүүрээ байнга угаадаг газрыг үзэж болох уу?","9.39 Танай householdийн гишүүдийн гар, move/migrateрээ байнга угаадаг газрыг үзэж болох уу?",haven_labelled/vctrs_vctr/double,"2022,2024",hhold,01_hhold (13).dta | 01_hhold.dta,38508,0,6,household
q0945,What is the main source of drinking water for members of your household?,What is the main source of drinking water for members of your household?,haven_labelled/vctrs_vctr/double,2024,hhold,01_hhold.dta,15513,0,15,household
q0947,"How long does it take for members of your household to go there, get water, and","How long does it take for members of your household to go there, get water, and",haven_labelled/vctrs_vctr/double,2024,hhold,01_hhold.dta,15513,4843,55,household
q0949,How many liters of water per day do you use for drinking and household use?,How many liters of water per day do you use for drinking and household use?,numeric,2024,hhold,01_hhold.dta,15513,3756,55,household
q0950,What kind of toilet facility do members of your household usually use?,What kind of toilet facility do members of your household usually use?,haven_labelled/vctrs_vctr/double,2024,hhold,01_hhold.dta,15513,0,10,household
